,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,
Subject: Transport,,,,,,,,,,,,,,,,,,,,,
Topic: Air Transport,,,,,,,,,,,,,,,,,,,,,
"Table Title: Air Cargo Loaded By Region/Country Of Destination, Annual",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data last updated: 31/01/2022,,,,,,,,,,,,,,,,,,,,,
Source: CIVIL AVIATION AUTHORITY OF SINGAPORE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Tonnes
Data Series,Total ,Total -> South East Asia ,Total -> South East Asia -> Indonesia ,Total -> South East Asia -> Malaysia ,Total -> South East Asia -> Philippines ,Total -> South East Asia -> Thailand ,Total -> South East Asia -> Vietnam ,Total -> North East Asia ,Total -> North East Asia -> Mainland China ,Total -> North East Asia -> Hong Kong ,Total -> North East Asia -> Japan ,Total -> South Asia ,Total -> Middle East ,Total -> Oceania ,Total -> Europe ,Total -> Europe -> France ,Total -> Europe -> Germany ,Total -> Europe -> United Kingdom ,Total -> North America ,Total -> Other Regions ,Total -> Not Stated 
  2021,934883.3,173961.6,50650.5,26402.2,14711.6,56123.3,19184,351166.8,107555.3,97108.4,47930.2,66793.7,59337.8,146030.8,94597.1,8722.7,18989.3,19714.7,29171.2,11600,2224.4
  2020,719522.5,146618.7,38893.5,23404.9,10384.7,53192.9,15701.3,281126.8,77188.8,79790,40968.1,48715.6,34096.5,105751.5,75450.1,5351.4,9544.4,21878.5,17879.3,7739.6,2144.5
  2019,930356.5,190415.5,54867.6,28615.6,23235.1,48444.2,25942.1,326667.9,99836.8,69970.4,63604.5,80014.9,43287.8,124827.2,124698.5,10436.6,25497.8,36184,28591.2,10299.7,1553.9
  2018,990114.3,189456.8,61520.2,20190.3,24990.4,47309.5,25765.9,342232.8,104659,79076.5,69046.7,89951.5,45751.2,133104.4,142574,11219.1,29325.8,38098.5,34762,10779.8,1501.8
  2017,969477,187053,58199,22496,20964,47559,27176,343003,101702,81968,72987,81414,47335,131407,134784,10471,24103,37798,32417,10224,1840
  2016,885435,179785,60099,23531,20387,43005,22570,307118,86088,86108,67485,75280,40048,121686,120225,9151,19889,37537,29756,10215,1322
  2015,837791,175283,55664,29170,20439,43098,17935,285797,85106,74262,68171,68773,37790,125467,111300,7676,18124,35720,24069,9311,na
  2014,839240,182370,60832,29881,20316,45338,17530,281000,79801,73503,67106,68605,34591,123250,116346,8245,19317,35370,22183,10896,na
  2013,841894,185273,69638,29881,16144,44743,16986,279504,82602,73352,61167,67213,35047,118970,115514,8247,21743,33908,29100,11274,na
  2012,853278,187900,65095,29054,16487,55639,15684,275545,78801,70264,65373,69059,33049,120755,118869,8022,25351,31723,31654,16446,na
  2011,882142,183053,67358,28977,15332,48082,17752,296887,87420,70945,69615,74211,30974,115393,131523,8910,26845,30048,37682,12419,na
  2010,872406,186976,62726,31494,16309,50213,20987,283049,84084,74531,65566,76527,31144,107074,134549,9549,28855,29669,42209,10878,na
  2009,787120,171982,56355,28167,21815,41959,19120,235575,65699,61202,53619,72612,32803,94828,130088,11644,24655,25731,38065,11167,na
  2008,905002,209322,64786,31986,35384,47762,24686,254317,60500,67948,56437,94057,31388,101631,144479,13734,27190,28079,56398,13410,na
  2007,930896,201373,54517,41020,37452,47859,16590,272768,63687,67255,60241,91284,32525,99483,150550,12074,25036,30045,69208,13705,na
  2006,958341,198641,44708,43356,37802,52041,17122,289289,58425,70697,68189,80804,38405,102378,158648,9275,25969,30835,81136,9040,na
  2005,941580,201229,49222,41897,37377,54245,14771,293249,56413,67180,78333,65619,32473,95493,166141,9370,28385,31414,80025,7351,na
  2004,904507,185276,48213,43202,36093,44482,9353,290918,50084,65129,73943,59366,30913,90854,160147,13310,30974,31654,79954,7079,na
  2003,808351,155360,41967,37570,28106,36220,6978,277750,40934,61389,75467,45616,25298,80940,145263,20694,22718,29205,71905,6219,na
  2002,803306,151563,40832,37237,26292,35828,6202,292931,35640,58947,89767,42967,24534,70703,144217,25516,22531,28456,70785,5606,na
  2001,726424,142399,41740,35987,21297,33330,5024,275906,27204,54331,95321,41352,21114,63123,122839,20122,18320,26000,54302,5389,na
  2000,834220,157223,41086,38504,26915,40053,5176,325651,26162,65607,109307,45575,26067,67763,138378,22410,22610,28084,66748,6815,na
  1999,743622,132550,29915,28660,27239,36866,4499,279717,21647,56713,94971,42731,20671,69151,131619,20149,22137,25913,60518,6665,na
  1998,632093,113078,19860,25842,25983,30661,4393,231638,18137,54633,79113,38561,16838,58958,114016,15680,19874,20159,52418,6586,na
  1997,639570,145204,39215,31264,24790,38125,4170,233576,12563,56109,83056,31856,13632,54815,101670,11933,14230,17346,52477,6340,na
  1996,568438,144984,42226,33002,19043,37207,3895,206249,10386,47708,77706,28861,11527,45662,85833,6195,11525,16095,39667,5655,na
  1995,528024,126481,34569,31272,12791,36446,na,197688,na,45106,74741,25979,11264,43573,82938,4928,10106,12927,35620,4481,na
  1994,480430,121047,31292,28069,10130,41565,na,166943,na,40065,61934,21362,12506,40720,80721,3339,8836,12594,32960,4171,na
  1993,394397,93143,22945,25533,8463,27597,na,136631,na,35840,56016,17150,10583,32114,73229,2241,7985,11899,27869,3678,na
  1992,332212,78534,20130,20785,6851,23234,na,112125,na,28388,51312,13830,7360,27683,68954,2884,6505,10526,20402,3324,na
  1991,300948,71229,19198,21316,5502,19384,na,103732,na,27296,48331,12555,6371,26133,60726,2481,5519,11611,16749,3453,na
  1990,299684,77935,26356,20396,6066,20293,na,90310,na,24181,41121,13550,7328,25877,61310,2999,5856,12923,19797,3578,na
  1989,280369,68452,20401,17350,5988,20209,na,83782,na,22617,37629,15038,6363,28466,54400,3055,4127,13172,20644,3224,na
  1988,248293,59149,18623,15125,5419,16070,na,69529,na,18827,32423,13816,6014,23597,52945,3449,4026,11771,20912,2331,na
  1987,196937,43027,11374,13655,4990,9402,na,51859,na,14527,22920,11447,5526,19185,46918,3816,4479,9826,17595,1379,na
  1986,160184,38587,11061,12566,3810,7015,na,38663,na,10481,17168,9049,4444,16509,37710,2888,4332,8851,14620,602,na
